species,assembly_type,software,field,operator,value,special_field
Bacillus subtilis,all,Quast,GC (%),>=,42,
Bacillus subtilis,all,Quast,Ns per 100 kbp,<=,1000,
Bacillus subtilis,all,Quast,Total length (>= 0 bp),<=,4600000,
Bacillus subtilis,all,Quast,Total length (>= 0 bp),>=,3600000,
Bacillus subtilis,all,Speciator,confidence,regex,^good$,
Bacillus subtilis,all,Speciator,genusName,regex,^Bacillus,
Bacillus subtilis,all,Speciator,speciesName,regex,^Bacillus subtilis,species_field
Bacillus subtilis,all,Sylph,number_of_genomes,=,1,
Bacillus subtilis,all,Sylph,species_name,regex,^Bacillus subtilis,species_field
Bacillus subtilis,short,Ariba,percent,=,100,
Bacillus subtilis,short,Checkm,# contigs,<=,470,
Bacillus subtilis,short,Checkm,N50 (scaffolds),>=,23000,
Bacillus subtilis,short,Quast,# contigs (>= 0 bp),<=,470,
Bacillus subtilis,short,Quast,N50,>=,23000,
Bacteroides fragilis,all,Checkm,Completeness,>=,98,
Bacteroides fragilis,all,Checkm,Contamination,<=,7,
Bacteroides fragilis,all,Checkm,GC,<=,44,
Bacteroides fragilis,all,Checkm,GC,>=,43,
Bacteroides fragilis,all,Checkm,Genome size (bp),<=,5800000,
Bacteroides fragilis,all,Checkm,Genome size (bp),>=,4800000,
Bacteroides fragilis,all,Checkm,Marker lineage,regex,^Bacteroides fragilis,species_field
Bacteroides fragilis,all,Quast,GC (%),<=,44,
Bacteroides fragilis,all,Quast,GC (%),>=,43,
Bacteroides fragilis,all,Quast,Ns per 100 kbp,<=,1000,
Bacteroides fragilis,all,Quast,Total length (>= 0 bp),<=,5800000,
Bacteroides fragilis,all,Quast,Total length (>= 0 bp),>=,4800000,
Bacteroides fragilis,all,Speciator,confidence,regex,^good$,
Bacteroides fragilis,all,Speciator,genusName,regex,^Bacteroides,
Bacteroides fragilis,all,Speciator,speciesName,regex,^Bacteroides fragilis,species_field
Bacteroides fragilis,all,Sylph,number_of_genomes,=,1,
Bacteroides fragilis,all,Sylph,species_name,regex,^Bacteroides fragilis,species_field
Bacteroides fragilis,short,Ariba,percent,=,100,
Bacteroides fragilis,short,Checkm,# contigs,<=,500,
Bacteroides fragilis,short,Checkm,N50 (scaffolds),>=,22000,
Bacteroides fragilis,short,Quast,# contigs (>= 0 bp),<=,500,
Bacteroides fragilis,short,Quast,N50,>=,22000,
Bacteroides uniformis,all,Checkm,Completeness,>=,92,
Bacteroides uniformis,all,Checkm,Contamination,<=,9,
Bacteroides uniformis,all,Checkm,GC,<=,47,
Bacteroides uniformis,all,Checkm,GC,>=,45,
Bacteroides uniformis,all,Checkm,Genome size (bp),<=,5500000,
Bacteroides uniformis,all,Checkm,Genome size (bp),>=,4200000,
Bacteroides uniformis,all,Checkm,Marker lineage,regex,^Bacteroides uniformis,species_field
Bacteroides uniformis,all,Quast,GC (%),<=,47,
Bacteroides uniformis,all,Quast,GC (%),>=,45,
Bacteroides uniformis,all,Quast,Ns per 100 kbp,<=,1000,
Bacteroides uniformis,all,Quast,Total length (>= 0 bp),<=,5500000,
Bacteroides uniformis,all,Quast,Total length (>= 0 bp),>=,4200000,
Bacteroides uniformis,all,Speciator,confidence,regex,^good$,
Bacteroides uniformis,all,Speciator,genusName,regex,^Bacteroides,
Bacteroides uniformis,all,Speciator,speciesName,regex,^Bacteroides uniformis,species_field
Bacteroides uniformis,all,Sylph,number_of_genomes,=,1,
Bacteroides uniformis,all,Sylph,species_name,regex,^Bacteroides uniformis,species_field
Bacteroides uniformis,short,Ariba,percent,=,100,
Bacteroides uniformis,short,Checkm,# contigs,<=,470,
Bacteroides uniformis,short,Checkm,N50 (scaffolds),>=,25000,
Bacteroides uniformis,short,Quast,# contigs (>= 0 bp),<=,470,
Bacteroides uniformis,short,Quast,N50,>=,25000,
Bifidobacterium adolescentis,all,Checkm,Completeness,>=,94,
Bifidobacterium adolescentis,all,Checkm,Contamination,<=,6,
Bifidobacterium adolescentis,all,Checkm,GC,<=,61,
Bifidobacterium adolescentis,all,Checkm,GC,>=,58,
Bifidobacterium adolescentis,all,Checkm,Genome size (bp),<=,2500000,
Bifidobacterium adolescentis,all,Checkm,Genome size (bp),>=,2000000,
Bifidobacterium adolescentis,all,Checkm,Marker lineage,regex,^Bifidobacterium adolescentis,species_field
Bifidobacterium adolescentis,all,Quast,GC (%),<=,61,
Bifidobacterium adolescentis,all,Quast,GC (%),>=,58,
Bifidobacterium adolescentis,all,Quast,Ns per 100 kbp,<=,1000,
Bifidobacterium adolescentis,all,Quast,Total length (>= 0 bp),<=,2500000,
Bifidobacterium adolescentis,all,Quast,Total length (>= 0 bp),>=,2000000,
Bifidobacterium adolescentis,all,Speciator,confidence,regex,^good$,
Bifidobacterium adolescentis,all,Speciator,genusName,regex,^Bifidobacterium,
Bifidobacterium adolescentis,all,Speciator,speciesName,regex,^Bifidobacterium adolescentis,species_field
Bifidobacterium adolescentis,all,Sylph,number_of_genomes,=,1,
Bifidobacterium adolescentis,all,Sylph,species_name,regex,^Bifidobacterium adolescentis,species_field
Bifidobacterium adolescentis,short,Ariba,percent,=,100,
Bifidobacterium adolescentis,short,Checkm,# contigs,<=,90,
Bifidobacterium adolescentis,short,Checkm,N50 (scaffolds),>=,62000,
Bifidobacterium adolescentis,short,Quast,# contigs (>= 0 bp),<=,90,
Bifidobacterium adolescentis,short,Quast,N50,>=,62000,
Bifidobacterium longum,all,Checkm,Completeness,>=,94,
Bifidobacterium longum,all,Checkm,Contamination,<=,3,
Bifidobacterium longum,all,Checkm,GC,<=,61,
Bifidobacterium longum,all,Checkm,GC,>=,59,
Bifidobacterium longum,all,Checkm,Genome size (bp),<=,2900000,
Bifidobacterium longum,all,Checkm,Genome size (bp),>=,2200000,
Bifidobacterium longum,all,Checkm,Marker lineage,regex,^Bifidobacterium longum,species_field
Bifidobacterium longum,all,Quast,GC (%),<=,61,
Bifidobacterium longum,all,Quast,GC (%),>=,59,
Bifidobacterium longum,all,Quast,Ns per 100 kbp,<=,1000,
Bifidobacterium longum,all,Quast,Total length (>= 0 bp),<=,2900000,
Bifidobacterium longum,all,Quast,Total length (>= 0 bp),>=,2200000,
Bifidobacterium longum,all,Speciator,confidence,regex,^good$,
Bifidobacterium longum,all,Speciator,genusName,regex,^Bifidobacterium,
Bifidobacterium longum,all,Speciator,speciesName,regex,^Bifidobacterium longum,species_field
Bifidobacterium longum,all,Sylph,number_of_genomes,=,1,
Bifidobacterium longum,all,Sylph,species_name,regex,^Bifidobacterium longum,species_field
Bifidobacterium longum,short,Ariba,percent,=,100,
Bifidobacterium longum,short,Checkm,# contigs,<=,170,
Bifidobacterium longum,short,Checkm,N50 (scaffolds),>=,50000,
Bifidobacterium longum,short,Quast,# contigs (>= 0 bp),<=,170,
Bifidobacterium longum,short,Quast,N50,>=,50000,
Bordetella pertussis,all,Checkm,Completeness,>=,92,
Bordetella pertussis,all,Checkm,Contamination,<=,8,
Bordetella pertussis,all,Checkm,GC,<=,68,
Bordetella pertussis,all,Checkm,GC,>=,67,
Bordetella pertussis,all,Checkm,Genome size (bp),<=,4400000,
Bordetella pertussis,all,Checkm,Genome size (bp),>=,3700000,
Bordetella pertussis,all,Checkm,Marker lineage,regex,^Bordetella pertussis,species_field
Bordetella pertussis,all,Quast,GC (%),<=,68,
Bordetella pertussis,all,Quast,GC (%),>=,67,
Bordetella pertussis,all,Quast,Ns per 100 kbp,<=,1000,
Bordetella pertussis,all,Quast,Total length (>= 0 bp),<=,4400000,
Bordetella pertussis,all,Quast,Total length (>= 0 bp),>=,3700000,
Bordetella pertussis,all,Speciator,confidence,regex,^good$,
Bordetella pertussis,all,Speciator,genusName,regex,^Bordetella,
Bordetella pertussis,all,Speciator,speciesName,regex,^Bordetella pertussis,species_field
Bordetella pertussis,all,Sylph,number_of_genomes,=,1,
Bordetella pertussis,all,Sylph,species_name,regex,^Bordetella pertussis,species_field
Bordetella pertussis,short,Ariba,percent,=,100,
Bordetella pertussis,short,Checkm,# contigs,<=,550,
Bordetella pertussis,short,Checkm,N50 (scaffolds),>=,11000,
Bordetella pertussis,short,Quast,# contigs (>= 0 bp),<=,550,
Bordetella pertussis,short,Quast,N50,>=,11000,
Brucella melitensis,all,Checkm,Completeness,>=,96,
Brucella melitensis,all,Checkm,Contamination,<=,1,
Brucella melitensis,all,Checkm,GC,<=,58,
Brucella melitensis,all,Checkm,GC,>=,57,
Brucella melitensis,all,Checkm,Genome size (bp),<=,3400000,
Brucella melitensis,all,Checkm,Genome size (bp),>=,3200000,
Brucella melitensis,all,Checkm,Marker lineage,regex,^Brucella melitensis,species_field
Brucella melitensis,all,Quast,GC (%),<=,58,
Brucella melitensis,all,Quast,GC (%),>=,57,
Brucella melitensis,all,Quast,Ns per 100 kbp,<=,1000,
Brucella melitensis,all,Quast,Total length (>= 0 bp),<=,3400000,
Brucella melitensis,all,Quast,Total length (>= 0 bp),>=,3200000,
Brucella melitensis,all,Speciator,confidence,regex,^good$,
Brucella melitensis,all,Speciator,genusName,regex,^Brucella,
Brucella melitensis,all,Speciator,speciesName,regex,^Brucella melitensis,species_field
Brucella melitensis,all,Sylph,number_of_genomes,=,1,
Brucella melitensis,all,Sylph,species_name,regex,^Brucella melitensis,species_field
Brucella melitensis,short,Ariba,percent,=,100,
Brucella melitensis,short,Checkm,# contigs,<=,90,
Brucella melitensis,short,Checkm,N50 (scaffolds),>=,81000,
Brucella melitensis,short,Quast,# contigs (>= 0 bp),<=,90,
Brucella melitensis,short,Quast,N50,>=,81000,
Burkholderia mallei,all,Checkm,Completeness,>=,95,
Burkholderia mallei,all,Checkm,Contamination,<=,6,
Burkholderia mallei,all,Checkm,GC,<=,69,
Burkholderia mallei,all,Checkm,GC,>=,67,
Burkholderia mallei,all,Checkm,Genome size (bp),<=,7500000,
Burkholderia mallei,all,Checkm,Genome size (bp),>=,5200000,
Burkholderia mallei,all,Checkm,Marker lineage,regex,^Burkholderia mallei,species_field
Burkholderia mallei,all,Quast,GC (%),<=,69,
Burkholderia mallei,all,Quast,GC (%),>=,67,
Burkholderia mallei,all,Quast,Ns per 100 kbp,<=,1000,
Burkholderia mallei,all,Quast,Total length (>= 0 bp),<=,7500000,
Burkholderia mallei,all,Quast,Total length (>= 0 bp),>=,5200000,
Burkholderia mallei,all,Speciator,confidence,regex,^good$,
Burkholderia mallei,all,Speciator,genusName,regex,^Burkholderia,
Burkholderia mallei,all,Speciator,speciesName,regex,^Burkholderia mallei,species_field
Burkholderia mallei,all,Sylph,number_of_genomes,=,1,
Burkholderia mallei,all,Sylph,species_name,regex,^Burkholderia mallei,species_field
Burkholderia mallei,short,Ariba,percent,=,100,
Burkholderia mallei,short,Checkm,# contigs,<=,690,
Burkholderia mallei,short,Checkm,N50 (scaffolds),>=,24000,
Burkholderia mallei,short,Quast,# contigs (>= 0 bp),<=,690,
Burkholderia mallei,short,Quast,N50,>=,24000,
Campylobacter coli,all,Checkm,Completeness,>=,95,
Campylobacter coli,all,Checkm,Contamination,<=,13,
Campylobacter coli,all,Checkm,GC,<=,32,
Campylobacter coli,all,Checkm,GC,>=,30,
Campylobacter coli,all,Checkm,Genome size (bp),<=,2200000,
Campylobacter coli,all,Checkm,Genome size (bp),>=,1600000,
Campylobacter coli,all,Checkm,Marker lineage,regex,^Campylobacter coli,species_field
Campylobacter coli,all,Quast,GC (%),<=,32,
Campylobacter coli,all,Quast,GC (%),>=,30,
Campylobacter coli,all,Quast,Ns per 100 kbp,<=,1000,
Campylobacter coli,all,Quast,Total length (>= 0 bp),<=,2200000,
Campylobacter coli,all,Quast,Total length (>= 0 bp),>=,1600000,
Campylobacter coli,all,Speciator,confidence,regex,^good$,
Campylobacter coli,all,Speciator,genusName,regex,^Campylobacter,
Campylobacter coli,all,Speciator,speciesName,regex,^Campylobacter coli,species_field
Campylobacter coli,all,Sylph,number_of_genomes,=,1,
Campylobacter coli,all,Sylph,species_name,regex,^Campylobacter coli,species_field
Campylobacter coli,short,Ariba,percent,=,100,
Campylobacter coli,short,Checkm,# contigs,<=,180,
Campylobacter coli,short,Checkm,N50 (scaffolds),>=,25000,
Campylobacter coli,short,Quast,# contigs (>= 0 bp),<=,180,
Campylobacter coli,short,Quast,N50,>=,25000,
Campylobacter jejuni,all,Checkm,Completeness,>=,96,
Campylobacter jejuni,all,Checkm,Contamination,<=,10,
Campylobacter jejuni,all,Checkm,GC,<=,31,
Campylobacter jejuni,all,Checkm,GC,>=,30,
Campylobacter jejuni,all,Checkm,Genome size (bp),<=,2000000,
Campylobacter jejuni,all,Checkm,Genome size (bp),>=,1500000,
Campylobacter jejuni,all,Checkm,Marker lineage,regex,^Campylobacter jejuni,species_field
Campylobacter jejuni,all,Quast,GC (%),<=,31,
Campylobacter jejuni,all,Quast,GC (%),>=,30,
Campylobacter jejuni,all,Quast,Ns per 100 kbp,<=,1000,
Campylobacter jejuni,all,Quast,Total length (>= 0 bp),<=,2000000,
Campylobacter jejuni,all,Quast,Total length (>= 0 bp),>=,1500000,
Campylobacter jejuni,all,Speciator,confidence,regex,^good$,
Campylobacter jejuni,all,Speciator,genusName,regex,^Campylobacter,
Campylobacter jejuni,all,Speciator,speciesName,regex,^Campylobacter jejuni,species_field
Campylobacter jejuni,all,Sylph,number_of_genomes,=,1,
Campylobacter jejuni,all,Sylph,species_name,regex,^Campylobacter jejuni,species_field
Campylobacter jejuni,short,Ariba,percent,=,100,
Campylobacter jejuni,short,Checkm,# contigs,<=,160,
Campylobacter jejuni,short,Checkm,N50 (scaffolds),>=,22000,
Campylobacter jejuni,short,Quast,# contigs (>= 0 bp),<=,160,
Campylobacter jejuni,short,Quast,N50,>=,22000,
Chlamydia trachomatis,all,Checkm,Completeness,>=,77,
Chlamydia trachomatis,all,Checkm,Contamination,<=,8,
Chlamydia trachomatis,all,Checkm,GC,<=,43,
Chlamydia trachomatis,all,Checkm,GC,>=,41,
Chlamydia trachomatis,all,Checkm,Genome size (bp),<=,1300000,
Chlamydia trachomatis,all,Checkm,Genome size (bp),>=,1000000,
Chlamydia trachomatis,all,Checkm,Marker lineage,regex,^Chlamydia trachomatis,species_field
Chlamydia trachomatis,all,Quast,GC (%),<=,43,
Chlamydia trachomatis,all,Quast,GC (%),>=,41,
Chlamydia trachomatis,all,Quast,Ns per 100 kbp,<=,1000,
Chlamydia trachomatis,all,Quast,Total length (>= 0 bp),<=,1300000,
Chlamydia trachomatis,all,Quast,Total length (>= 0 bp),>=,900000,
Chlamydia trachomatis,all,Speciator,confidence,regex,^good$,
Chlamydia trachomatis,all,Speciator,genusName,regex,^Chlamydia,
Chlamydia trachomatis,all,Speciator,speciesName,regex,^Chlamydia trachomatis,species_field
Chlamydia trachomatis,all,Sylph,number_of_genomes,=,1,
Chlamydia trachomatis,all,Sylph,species_name,regex,^Chlamydia trachomatis,species_field
Chlamydia trachomatis,short,Ariba,percent,=,100,
Chlamydia trachomatis,short,Checkm,# contigs,<=,710,
Chlamydia trachomatis,short,Checkm,N50 (scaffolds),>=,2000,
Chlamydia trachomatis,short,Quast,# contigs (>= 0 bp),<=,710,
Chlamydia trachomatis,short,Quast,N50,>=,2000,
Citrobacter freundii,all,Checkm,Completeness,>=,93,
Citrobacter freundii,all,Checkm,Contamination,<=,11,
Citrobacter freundii,all,Checkm,GC,<=,53,
Citrobacter freundii,all,Checkm,GC,>=,51,
Citrobacter freundii,all,Checkm,Genome size (bp),<=,6100000,
Citrobacter freundii,all,Checkm,Genome size (bp),>=,4600000,
Citrobacter freundii,all,Checkm,Marker lineage,regex,^Citrobacter freundii,species_field
Citrobacter freundii,all,Quast,GC (%),<=,53,
Citrobacter freundii,all,Quast,GC (%),>=,51,
Citrobacter freundii,all,Quast,Ns per 100 kbp,<=,1000,
Citrobacter freundii,all,Quast,Total length (>= 0 bp),<=,6100000,
Citrobacter freundii,all,Quast,Total length (>= 0 bp),>=,4600000,
Citrobacter freundii,all,Speciator,confidence,regex,^good$,
Citrobacter freundii,all,Speciator,genusName,regex,^Citrobacter,
Citrobacter freundii,all,Speciator,speciesName,regex,^Citrobacter freundii,species_field
Citrobacter freundii,all,Sylph,number_of_genomes,=,1,
Citrobacter freundii,all,Sylph,species_name,regex,^Citrobacter freundii,species_field
Citrobacter freundii,short,Ariba,percent,=,100,
Citrobacter freundii,short,Checkm,# contigs,<=,320,
Citrobacter freundii,short,Checkm,N50 (scaffolds),>=,58000,
Citrobacter freundii,short,Quast,# contigs (>= 0 bp),<=,320,
Citrobacter freundii,short,Quast,N50,>=,58000,
Clostridium botulinum,all,Checkm,Completeness,>=,95,
Clostridium botulinum,all,Checkm,Contamination,<=,3,
Clostridium botulinum,all,Checkm,GC,<=,29,
Clostridium botulinum,all,Checkm,GC,>=,27,
Clostridium botulinum,all,Checkm,Genome size (bp),<=,4500000,
Clostridium botulinum,all,Checkm,Genome size (bp),>=,2500000,
Clostridium botulinum,all,Checkm,Marker lineage,regex,^Clostridium botulinum,species_field
Clostridium botulinum,all,Quast,GC (%),<=,29,
Clostridium botulinum,all,Quast,GC (%),>=,27,
Clostridium botulinum,all,Quast,Ns per 100 kbp,<=,1000,
Clostridium botulinum,all,Quast,Total length (>= 0 bp),<=,4500000,
Clostridium botulinum,all,Quast,Total length (>= 0 bp),>=,2700000,
Clostridium botulinum,all,Speciator,confidence,regex,^good$,
Clostridium botulinum,all,Speciator,genusName,regex,^Clostridium,
Clostridium botulinum,all,Speciator,speciesName,regex,^Clostridium botulinum,species_field
Clostridium botulinum,all,Sylph,number_of_genomes,=,1,
Clostridium botulinum,all,Sylph,species_name,regex,^Clostridium botulinum,species_field
Clostridium botulinum,short,Ariba,percent,=,100,
Clostridium botulinum,short,Checkm,# contigs,<=,570,
Clostridium botulinum,short,Checkm,N50 (scaffolds),>=,12000,
Clostridium botulinum,short,Quast,# contigs (>= 0 bp),<=,570,
Clostridium botulinum,short,Quast,N50,>=,12000,
Clostridium difficile,all,Checkm,Completeness,>=,95,
Clostridium difficile,all,Checkm,Contamination,<=,4,
Clostridium difficile,all,Checkm,GC,<=,30,
Clostridium difficile,all,Checkm,GC,>=,28,
Clostridium difficile,all,Checkm,Genome size (bp),<=,4600000,
Clostridium difficile,all,Checkm,Genome size (bp),>=,3800000,
Clostridium difficile,all,Checkm,Marker lineage,regex,^Clostridium difficile,species_field
Clostridium difficile,all,Quast,GC (%),<=,30,
Clostridium difficile,all,Quast,GC (%),>=,28,
Clostridium difficile,all,Quast,Ns per 100 kbp,<=,1000,
Clostridium difficile,all,Quast,Total length (>= 0 bp),<=,4600000,
Clostridium difficile,all,Quast,Total length (>= 0 bp),>=,3800000,
Clostridium difficile,all,Speciator,confidence,regex,^good$,
Clostridium difficile,all,Speciator,genusName,regex,^Clostridium,
Clostridium difficile,all,Speciator,speciesName,regex,^Clostridium difficile,species_field
Clostridium difficile,all,Sylph,number_of_genomes,=,1,
Clostridium difficile,all,Sylph,species_name,regex,^Clostridium difficile,species_field
Clostridium difficile,short,Ariba,percent,=,100,
Clostridium difficile,short,Checkm,# contigs,<=,800,
Clostridium difficile,short,Checkm,N50 (scaffolds),>=,8000,
Clostridium difficile,short,Quast,# contigs (>= 0 bp),<=,800,
Clostridium difficile,short,Quast,N50,>=,8000,
Corynebacterium diphtheriae,all,Checkm,Completeness,>=,96,
Corynebacterium diphtheriae,all,Checkm,Contamination,<=,2,
Corynebacterium diphtheriae,all,Checkm,GC,<=,54,
Corynebacterium diphtheriae,all,Checkm,GC,>=,53,
Corynebacterium diphtheriae,all,Checkm,Genome size (bp),<=,2600000,
Corynebacterium diphtheriae,all,Checkm,Genome size (bp),>=,2300000,
Corynebacterium diphtheriae,all,Checkm,Marker lineage,regex,^Corynebacterium diphtheriae,species_field
Corynebacterium diphtheriae,all,Quast,GC (%),<=,54,
Corynebacterium diphtheriae,all,Quast,GC (%),>=,53,
Corynebacterium diphtheriae,all,Quast,Ns per 100 kbp,<=,1000,
Corynebacterium diphtheriae,all,Quast,Total length (>= 0 bp),<=,2600000,
Corynebacterium diphtheriae,all,Quast,Total length (>= 0 bp),>=,2300000,
Corynebacterium diphtheriae,all,Speciator,confidence,regex,^good$,
Corynebacterium diphtheriae,all,Speciator,genusName,regex,^Corynebacterium,
Corynebacterium diphtheriae,all,Speciator,speciesName,regex,^Corynebacterium diphtheriae,species_field
Corynebacterium diphtheriae,all,Sylph,number_of_genomes,=,1,
Corynebacterium diphtheriae,all,Sylph,species_name,regex,^Corynebacterium diphtheriae,species_field
Corynebacterium diphtheriae,short,Ariba,percent,=,100,
Corynebacterium diphtheriae,short,Checkm,# contigs,<=,110,
Corynebacterium diphtheriae,short,Checkm,N50 (scaffolds),>=,62000,
Corynebacterium diphtheriae,short,Quast,# contigs (>= 0 bp),<=,110,
Corynebacterium diphtheriae,short,Quast,N50,>=,62000,
Cronobacter sakazakii,all,Checkm,Completeness,>=,97,
Cronobacter sakazakii,all,Checkm,Contamination,<=,4,
Cronobacter sakazakii,all,Checkm,GC,<=,58,
Cronobacter sakazakii,all,Checkm,GC,>=,56,
Cronobacter sakazakii,all,Checkm,Genome size (bp),<=,5000000,
Cronobacter sakazakii,all,Checkm,Genome size (bp),>=,4200000,
Cronobacter sakazakii,all,Checkm,Marker lineage,regex,^Cronobacter sakazakii,species_field
Cronobacter sakazakii,all,Quast,GC (%),<=,58,
Cronobacter sakazakii,all,Quast,GC (%),>=,56,
Cronobacter sakazakii,all,Quast,Ns per 100 kbp,<=,1000,
Cronobacter sakazakii,all,Quast,Total length (>= 0 bp),<=,5000000,
Cronobacter sakazakii,all,Quast,Total length (>= 0 bp),>=,4200000,
Cronobacter sakazakii,all,Speciator,confidence,regex,^good$,
Cronobacter sakazakii,all,Speciator,genusName,regex,^Cronobacter,
Cronobacter sakazakii,all,Speciator,speciesName,regex,^Cronobacter sakazakii,species_field
Cronobacter sakazakii,all,Sylph,number_of_genomes,=,1,
Cronobacter sakazakii,all,Sylph,species_name,regex,^Cronobacter sakazakii,species_field
Cronobacter sakazakii,short,Ariba,percent,=,100,
Cronobacter sakazakii,short,Checkm,# contigs,<=,140,
Cronobacter sakazakii,short,Checkm,N50 (scaffolds),>=,92000,
Cronobacter sakazakii,short,Quast,# contigs (>= 0 bp),<=,140,
Cronobacter sakazakii,short,Quast,N50,>=,92000,
Enterobacter cloacae,all,Checkm,Completeness,>=,91,
Enterobacter cloacae,all,Checkm,Contamination,<=,4,
Enterobacter cloacae,all,Checkm,GC,<=,57,
Enterobacter cloacae,all,Checkm,GC,>=,52,
Enterobacter cloacae,all,Checkm,Genome size (bp),<=,5800000,
Enterobacter cloacae,all,Checkm,Genome size (bp),>=,4600000,
Enterobacter cloacae,all,Checkm,Marker lineage,regex,^Enterobacter cloacae,species_field
Enterobacter cloacae,all,Quast,GC (%),<=,57,
Enterobacter cloacae,all,Quast,GC (%),>=,52,
Enterobacter cloacae,all,Quast,Ns per 100 kbp,<=,1000,
Enterobacter cloacae,all,Quast,Total length (>= 0 bp),<=,5800000,
Enterobacter cloacae,all,Quast,Total length (>= 0 bp),>=,4600000,
Enterobacter cloacae,all,Speciator,confidence,regex,^good$,
Enterobacter cloacae,all,Speciator,genusName,regex,^Enterobacter,
Enterobacter cloacae,all,Speciator,speciesName,regex,^Enterobacter cloacae,species_field
Enterobacter cloacae,all,Sylph,number_of_genomes,=,1,
Enterobacter cloacae,all,Sylph,species_name,regex,^Enterobacter cloacae,species_field
Enterobacter cloacae,short,Ariba,percent,=,100,
Enterobacter cloacae,short,Checkm,# contigs,<=,420,
Enterobacter cloacae,short,Checkm,N50 (scaffolds),>=,41000,
Enterobacter cloacae,short,Quast,# contigs (>= 0 bp),<=,420,
Enterobacter cloacae,short,Quast,N50,>=,41000,
Enterobacter hormaechei,all,Checkm,Completeness,>=,98,
Enterobacter hormaechei,all,Checkm,Contamination,<=,4,
Enterobacter hormaechei,all,Checkm,GC,<=,56,
Enterobacter hormaechei,all,Checkm,GC,>=,54,
Enterobacter hormaechei,all,Checkm,Genome size (bp),<=,5700000,
Enterobacter hormaechei,all,Checkm,Genome size (bp),>=,4500000,
Enterobacter hormaechei,all,Checkm,Marker lineage,regex,^Enterobacter hormaechei,species_field
Enterobacter hormaechei,all,Quast,GC (%),<=,56,
Enterobacter hormaechei,all,Quast,GC (%),>=,54,
Enterobacter hormaechei,all,Quast,Ns per 100 kbp,<=,1000,
