phecode	phenotype	category
1001	Foreign body injury	NULL
1002	"Symptoms concerning nutrition, metabolism, and development"	NULL
1003	Sudden death	NULL
1004	Other signs and symptoms involving emotional state	NULL
1005	Other symptoms	NULL
1006	Crushing injury	NULL
1007	Injury to blood vessels	NULL
1008	Crushing or internal injury to organs	NULL
1009	"Injury, NOS"	NULL
1010	Other tests	NULL
1011	Complications of surgical and medical procedures	NULL
1012	Late effect	NULL
1013	Asphyxia and hypoxemia	NULL
1014	"Effects of heat, cold and air pressure"	NULL
1015	Effects of other external causes	NULL
1019	Other ill-defined and unknown causes of morbidity and mortality	NULL
110	Dermatophytosis / Dermatomycosis	infectious diseases
110.1	Dermatophytosis	infectious diseases
110.11	Dermatophytosis of nail	infectious diseases
110.12	Althete's foot	infectious diseases
110.13	Dermatophytosis of the body	infectious diseases
110.2	Dermatomycoses	infectious diseases
1100	Family history	NULL
112	Candidiasis	infectious diseases
112.3	Candidiasis of skin and nails	infectious diseases
117	Mycoses	infectious diseases
117.1	Histoplasmosis	infectious diseases
117.2	Coccidioidomycosis	infectious diseases
117.3	Blastomycotic infection	infectious diseases
117.4	Aspergillosis	infectious diseases
130	Spirochetal infection	infectious diseases
130.1	Lyme disease	infectious diseases
131	Protozoan infection	infectious diseases
132	"Infestation (lice, mites)"	infectious diseases
132.1	Pediculosis and phthirus infestation	infectious diseases
133	Arthropod-borne diseases	infectious diseases
134	Helminthiases	infectious diseases
134.1	Intestinal helminthiases	infectious diseases
136	Other infectious and parasitic diseases	infectious diseases
145	Cancer of mouth	neoplasms
145.1	Cancer of lip	neoplasms
145.2	Cancer of tongue	neoplasms
145.3	Cancer of major salivary glands	neoplasms
145.4	Cancer of the gums	neoplasms
145.5	Cancer of the mouth floor	neoplasms
149	"Cancer of larynx, pharynx, nasal cavities"	neoplasms
149.1	Cancer of oropharynx	neoplasms
149.2	Cancer of nasopharynx	neoplasms
149.3	Cancer of hypopharynx	neoplasms
149.4	Cancer of larynx	neoplasms
149.5	Hx of malignant neoplasm of oral cavity and pharynx	neoplasms
149.9	Cancer of of nasal cavities	neoplasms
150	Cancer of esophagus	neoplasms
151	Cancer of stomach	neoplasms
153	Colorectal cancer	neoplasms
153.2	Colon cancer	neoplasms
153.3	"Malignant neoplasm of rectum, rectosigmoid junction, and anus"	neoplasms
155	Cancer of liver and intrahepatic bile duct	neoplasms
155.1	"Malignant neoplasm of liver, primary"	neoplasms
157	Pancreatic cancer	neoplasms
158	Neoplasm of unspecified nature of digestive system	neoplasms
159	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	neoplasms
159.2	"Malignant neoplasm of small intestine, including duodenum"	neoplasms
159.3	Malignant neoplasm of gallbladder and extrahepatic bile ducts	neoplasms
159.4	Malignant neoplasm of retroperitoneum and peritoneum	neoplasms
164	Cancer of intrathoracic organs	neoplasms
165	Cancer within the respiratory system	neoplasms
165.1	Cancer of bronchus; lung	neoplasms
170	Cancer of bone and connective tissue	neoplasms
170.1	Bone cancer	neoplasms
170.2	Cancer of connective tissue	neoplasms
172	Skin cancer	neoplasms
172.1	"Melanomas of skin, dx or hx"	neoplasms
172.11	Melanomas of skin	neoplasms
172.2	Other non-epithelial cancer of skin	neoplasms
172.21	Basal cell carcinoma	neoplasms
172.22	Squamous cell carcinoma	neoplasms
172.3	Carcinoma in situ of skin	neoplasms
173	Neoplasm of uncertain behavior of skin	neoplasms
174	Breast cancer	neoplasms
174.1	Breast cancer [female]	neoplasms
174.11	Malignant neoplasm of female breast	neoplasms
174.2	Breast cancer [male]	neoplasms
174.3	Neoplasm of uncertain behavior of breast	neoplasms
175	Acquired absence of breast	neoplasms
180	Cervical cancer and dysplasia	neoplasms
180.1	Cervical cancer	neoplasms
180.3	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	neoplasms
182	Malignant neoplasm of uterus	neoplasms
184	Cancer of other female genital organs	neoplasms
184.1	Malignant neoplasm of ovary and other uterine adnexa	neoplasms
184.11	Malignant neoplasm of ovary	neoplasms
184.2	Cancer of other female genital organs (excluding uterus and ovary)	neoplasms
185	Cancer of prostate	neoplasms
187	Cancer of other male genital organs	neoplasms
187.1	Malignant neoplasm of unspecified male genital organ	neoplasms
187.2	Malignant neoplasm of testis	neoplasms
187.8	Neoplasm of uncertain behavior of male genital organs	neoplasms
189	Cancer of urinary organs (incl. kidney and bladder)	neoplasms
189.1	Cancer of kidney and renal pelvis	neoplasms
189.11	"Malignant neoplasm of kidney, except pelvis"	neoplasms
189.12	Malignant neoplasm of renal pelvis	neoplasms
189.2	Cancer of bladder	neoplasms
189.21	Malignant neoplasm of bladder	neoplasms
189.4	Malignant neoplasm of other urinary organs	neoplasms
190	Cancer of eye	neoplasms
191	Manlignant and unknown neoplasms of brain and nervous system	neoplasms
191.1	Cancer of brain and nervous system	neoplasms
191.11	Cancer of brain	neoplasms
193	Thyroid cancer	neoplasms
194	Cancer of other endocrine glands	neoplasms
195	"Cancer, suspected or other"	neoplasms
195.1	"Malignant neoplasm, other"	neoplasms
195.3	"Malignant neoplasm of head, face, and neck"	neoplasms
196	Radiotherapy	neoplasms
197	Chemotherapy	neoplasms
198	Secondary malignant neoplasm	neoplasms
198.1	Secondary malignancy of lymph nodes	neoplasms
198.2	Secondary malignancy of respiratory organs	neoplasms
198.3	Secondary malignant neoplasm of digestive systems	neoplasms
198.4	Secondary malignant neoplasm of liver	neoplasms
198.5	Secondary malignancy of brain/spine	neoplasms
198.6	Secondary malignancy of bone	neoplasms
198.7	Secondary malignant neoplasm of skin	neoplasms
199	Neoplasm of uncertain behavior	neoplasms
199.4	Neurofibromatosis	neoplasms
200	Myeloproliferative disease	neoplasms
200.1	Polycythemia vera	neoplasms
201	Hodgkin's disease	neoplasms
202	"Cancer of other lymphoid, histiocytic tissue"	neoplasms
202.2	Non-Hodgkins lymphoma	neoplasms
202.21	Nodular lymphoma	neoplasms
202.22	Reticulosarcoma	neoplasms
202.23	Lymphosarcoma	neoplasms
202.24	Large cell lymphoma	neoplasms
204	Leukemia	neoplasms
204.1	Lymphoid leukemia	neoplasms
204.11	"Lymphoid leukemia, acute"	neoplasms
204.12	"Lymphoid leukemia, chronic"	neoplasms
204.2	Myeloid leukemia	neoplasms
204.21	"Myeloid leukemia, acute"	neoplasms
204.22	"Myeloid leukemia, chronic"	neoplasms
204.3	Monocytic leukemia	neoplasms
204.4	Multiple myeloma	neoplasms
208	Benign neoplasm of colon	neoplasms
209	Neuroendocrine tumors	neoplasms
210	"Benign neoplasm of lip, oral cavity, and pharynx"	neoplasms
211	Benign neoplasm of other parts of digestive system	neoplasms
212	Benign neoplasm of respiratory and intrathoracic organs	neoplasms
213	Benign neoplasm of bone and articular cartilage	neoplasms
214	Lipoma	neoplasms
214.1	Lipoma of skin and subcutaneous tissue	neoplasms
215	Other benign neoplasm of connective and other soft tissue	neoplasms
216	Benign neoplasm of skin	neoplasms
216.1	Screening for malignant neoplasms of the skin	neoplasms
217	Vascular hamartomas and non-neoplastic nevi	neoplasms
217.1	"Nevus, non-neoplastic"	neoplasms
218	Benign neoplasm of uterus	neoplasms
218.1	Uterine leiomyoma	neoplasms
218.2	Other benign neoplasm of uterus	neoplasms
220	Benign neoplasm of ovary	neoplasms
221	Benign neoplasm of other female genital organs	neoplasms
222	Benign neoplasm of male genital organs	neoplasms
223	Benign neoplasm of kidney and other urinary organs	neoplasms
224	Benign neoplasm of eye	neoplasms
224.1	"Benign neoplasm of eye, uveal"	neoplasms
225	Benign neoplasm of brain and other parts of nervous system	neoplasms
225.1	"Benign neoplasm of brain, cranial nerves, meninges"	neoplasms
225.2	"Benign neoplasm of spinal cord, meninges"	neoplasms
226	Benign neoplasm of thyroid glands	neoplasms
227	Benign neoplasm of other endocrine glands and related structures	neoplasms
227.1	Benign neoplasm of adrenal gland	neoplasms
227.2	Benign neoplasm of parathyroid gland	neoplasms
227.3	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	neoplasms
228	"Hemangioma and lymphangioma, any site"	neoplasms
228.1	Hemangioma of skin and subcutaneous tissue	neoplasms
229	Benign neoplasm of unspecified sites	neoplasms
229.1	Benign neoplasm of lymph nodes	neoplasms
230	Kaposi's sarcoma	neoplasms
240	Simple and unspecified goiter	endocrine/metabolic
241	Nontoxic nodular goiter	endocrine/metabolic
241.1	Nontoxic uninodular goiter	endocrine/metabolic
241.2	Nontoxic multinodular goiter	endocrine/metabolic
242	Thyrotoxicosis with or without goiter	endocrine/metabolic
242.1	Graves' disease	endocrine/metabolic
242.2	Toxic multinodular goiter	endocrine/metabolic
242.3	Exophthalmos	endocrine/metabolic
242.31	Thyrotoxic exophthalmos	endocrine/metabolic
244	Hypothyroidism	endocrine/metabolic
244.1	Secondary hypothyroidism	endocrine/metabolic
244.2	Acquired hypothyroidism	endocrine/metabolic
244.3	Iodine hypothyroidism	endocrine/metabolic
244.4	Hypothyroidism NOS	endocrine/metabolic
244.5	Congenital hypothyroidism	endocrine/metabolic
245	Thyroiditis	endocrine/metabolic
245.1	"Thyroiditis, acute and subacute"	endocrine/metabolic
245.2	Chronic thyroiditis	endocrine/metabolic
245.21	Chronic lymphocytic thyroiditis	endocrine/metabolic
246	Other disorders of thyroid	endocrine/metabolic
246.2	Thyroid cyst	endocrine/metabolic
246.7	Abnormal results of function study of thyroid	endocrine/metabolic
249	Secondary diabetes mellitus	endocrine/metabolic
250	Diabetes mellitus	endocrine/metabolic
250.1	Type 1 diabetes	endocrine/metabolic
250.11	Type 1 diabetes with ketoacidosis	endocrine/metabolic
250.12	Type 1 diabetes with renal manifestations	endocrine/metabolic
250.13	Type 1 diabetes with ophthalmic manifestations	endocrine/metabolic
250.14	Type 1 diabetes with neurological manifestations	endocrine/metabolic
250.15	Diabetes type 1 with peripheral circulatory disorders	endocrine/metabolic
250.2	Type 2 diabetes	endocrine/metabolic
250.21	Type 2 diabetes with ketoacidosis	endocrine/metabolic
250.22	Type 2 diabetes with renal manifestations	endocrine/metabolic
250.23	Type 2 diabetes with ophthalmic manifestations	endocrine/metabolic
250.24	Type 2 diabetes with neurological manifestations	endocrine/metabolic
250.25	Diabetes type 2 with peripheral circulatory disorders	endocrine/metabolic
250.3	Insulin pump user	endocrine/metabolic
250.4	Abnormal glucose	endocrine/metabolic
250.41	Impaired fasting glucose	endocrine/metabolic
250.42	Other abnormal glucose	endocrine/metabolic
250.5	Glycosuria or Acetonuria	endocrine/metabolic
250.6	Polyneuropathy in diabetes	endocrine/metabolic
250.7	Diabetic retinopathy	endocrine/metabolic
251	Other disorders of pancreatic internal secretion	endocrine/metabolic
251.1	Hypoglycemia	endocrine/metabolic
251.8	Abnormality of secretion of glucagon or gastrin	endocrine/metabolic
252	Disorders of parathyroid gland	endocrine/metabolic
252.1	Hyperparathyroidism	endocrine/metabolic
252.2	Hypoparathyroidism	endocrine/metabolic
253	Disorders of the pituitary gland and its hypothalamic control	endocrine/metabolic
253.1	Pituitary hyperfunction	endocrine/metabolic
253.11	Acromegaly and gigantism	endocrine/metabolic
253.2	Pituitary hypofunction	endocrine/metabolic
253.3	Diabetes insipidus	endocrine/metabolic
253.4	Anterior pituitary disorders	endocrine/metabolic
253.5	Pituitary dwarfism	endocrine/metabolic
253.7	Other disorders of neurohypophysis	endocrine/metabolic
254	Diseases of thymus gland	endocrine/metabolic
255	Disorders of adrenal glands	endocrine/metabolic
255.1	Adrenal hyperfunction	endocrine/metabolic
255.11	Cushing's syndrome	endocrine/metabolic
255.12	Hyperaldosteronism	endocrine/metabolic
255.13	Medulloadrenal hyperfunction	endocrine/metabolic
255.2	Adrenal hypofunction	endocrine/metabolic
255.21	Glucocorticoid deficiency	endocrine/metabolic
255.22	Mineralocorticoid deficiency	endocrine/metabolic
255.3	Adrenogenital disorders	endocrine/metabolic
256	Ovarian dysfunction	endocrine/metabolic
256.1	Hyperestrogenism	endocrine/metabolic
256.4	Polycystic ovaries	endocrine/metabolic
257	Testicular dysfunction	endocrine/metabolic
257.1	Testicular hypofunction	endocrine/metabolic
258	Iatrogenic endocrine disorders	endocrine/metabolic
258.1	Postablative ovarian failure	endocrine/metabolic
259	Other endocrine disorders	endocrine/metabolic
259.1	Nonspecific abnormal results of other endocrine function study	endocrine/metabolic
259.2	Carcinoid syndrome	endocrine/metabolic
259.3	Delay in sexual development and puberty NEC	endocrine/metabolic
259.4	Precocious sexual development and puberty NEC	endocrine/metabolic
259.8	Polyglandular activity in multiple endocrine adenomatosis	endocrine/metabolic
260	Protein-calorie malnutrition	endocrine/metabolic
260.1	Cachexia	endocrine/metabolic
260.2	severe protein-calorie malnutrition	endocrine/metabolic
260.21	Kwashiorkor	endocrine/metabolic
260.22	Nutritional marasmus	endocrine/metabolic
260.3	Adult failure to thrive	endocrine/metabolic
260.6	Anorexia	endocrine/metabolic
260.7	Polyphagia	endocrine/metabolic
261	Vitamin deficiency	endocrine/metabolic
261.1	Vitamin A deficiency	endocrine/metabolic
261.2	Vitamin B-complex deficiencies	endocrine/metabolic
261.3	Vitamin C deficiencies	endocrine/metabolic
261.4	Vitamin D deficiency	endocrine/metabolic
261.41	Rickets or osteomalacia	endocrine/metabolic
262	Mineral deficiency NEC	endocrine/metabolic
263	Other nutritional deficiency	endocrine/metabolic
264	Lack of normal physiological development	endocrine/metabolic
264.1	Short stature	endocrine/metabolic
264.2	Failure to thrive (childhood)	endocrine/metabolic
264.3	Delayed milestones	endocrine/metabolic
264.9	"Lack of normal physiological development, unspecified"	endocrine/metabolic
269	Proteinuria	endocrine/metabolic
270	Disorders of protein plasma/amino-acid transport and metabolism	endocrine/metabolic
270.1	Disturbances of amino-acid transport	endocrine/metabolic
270.11	Disturbances of sulphur-bearing amino-acid metabolism	endocrine/metabolic
270.12	Phenylketonuria [PKU]	endocrine/metabolic
270.2	Disorders of amino-acid metabolism	endocrine/metabolic
270.21	Disorders of urea cycle metabolism	endocrine/metabolic
270.3	Disorders of plasma protein metabolism	endocrine/metabolic
270.31	Polyclonal hypergammaglobulinemia	endocrine/metabolic
270.32	Paraproteinemia	endocrine/metabolic
270.33	Amyloidosis	endocrine/metabolic
270.34	Alpha-1-antitrypsin deficiency	endocrine/metabolic
270.35	Macroglobulinemia	endocrine/metabolic
270.38	Other specified disorders of plasma protein metabolism	endocrine/metabolic
271	Disorders of carbohydrate transport and metabolism	endocrine/metabolic
271.3	Intestinal disaccharidase deficiencies and disaccharide malabsorption	endocrine/metabolic
271.9	Other disorders of carbohydrate transport and metabolism	endocrine/metabolic
272	Disorders of lipoid metabolism	endocrine/metabolic
272.1	Hyperlipidemia	endocrine/metabolic
272.11	Hypercholesterolemia	endocrine/metabolic
272.12	Hyperglyceridemia	endocrine/metabolic
272.13	Mixed hyperlipidemia	endocrine/metabolic
272.14	Hyperchylomicronemia	endocrine/metabolic
272.9	Unspecified disorder of lipoid metabolism	endocrine/metabolic
274	Gout and other crystal arthropathies	endocrine/metabolic
274.1	Gout	endocrine/metabolic
274.11	Gouty arthropathy	endocrine/metabolic
274.2	Crystal arthropathies	endocrine/metabolic
274.21	Chondrocalcinosis	endocrine/metabolic
275	Disorders of mineral metabolism	endocrine/metabolic
275.1	Disorders of iron metabolism	hematopoietic
275.11	Hereditary hemochromatosis	hematopoietic
275.2	Disorders of copper metabolism	endocrine/metabolic
275.3	Disorders of magnesium metabolism	endocrine/metabolic
275.5	Disorders of calcium/phosphorus metabolism	endocrine/metabolic
275.51	Hypocalcemia	endocrine/metabolic
275.53	Disorders of phosphorus metabolism	endocrine/metabolic
275.6	Hypercalcemia	endocrine/metabolic
276	"Disorders of fluid, electrolyte, and acid-base balance"	endocrine/metabolic
276.1	Electrolyte imbalance	endocrine/metabolic
276.11	Hyperosmolality and/or hypernatremia	endocrine/metabolic
276.12	Hyposmolality and/or hyponatremia	endocrine/metabolic
276.13	Hyperpotassemia	endocrine/metabolic
276.14	Hypopotassemia	endocrine/metabolic
276.4	Acid-base balance disorder	endocrine/metabolic
276.41	Acidosis	endocrine/metabolic
276.42	Alkalosis	endocrine/metabolic
276.5	Hypovolemia	endocrine/metabolic
276.6	Fluid overload	endocrine/metabolic
276.8	Polydipsia	endocrine/metabolic
277	Other disorders of metabolism	endocrine/metabolic
277.1	Disorders of porphyrin metabolism	endocrine/metabolic
277.2	Other disorders of purine and pyrimidine metabolism	endocrine/metabolic
277.4	Disorders of bilirubin excretion	endocrine/metabolic
277.5	Other disorders of lipoid metabolism	endocrine/metabolic
277.51	Lipoprotein disorders	endocrine/metabolic
277.6	Other deficiencies of circulating enzymes	endocrine/metabolic
277.7	Dysmetabolic syndrome X	endocrine/metabolic
277.8	Carnitine deficiencies	endocrine/metabolic
278	"Overweight, obesity and other hyperalimentation"	endocrine/metabolic
278.1	Obesity	endocrine/metabolic
278.11	Morbid obesity	endocrine/metabolic
278.3	Localized adiposity	endocrine/metabolic
278.4	Abnormal weight gain	endocrine/metabolic
279	Disorders involving the immune mechanism	endocrine/metabolic
279.1	Immunity deficiency	endocrine/metabolic
279.11	Deficiency of humoral immunity	endocrine/metabolic
279.2	Autoimmune disease NEC	endocrine/metabolic
279.7	Other immunological findings	endocrine/metabolic
279.8	Other specified disorders involving the immune mechanism	endocrine/metabolic
280	Iron deficiency anemias	hematopoietic
280.1	"Iron deficiency anemias, unspecified or not due to blood loss"	hematopoietic
280.2	Iron deficiency anemia secondary to blood loss (chronic)	hematopoietic
281	Other deficiency anemia	hematopoietic
281.1	Megaloblastic anemia	hematopoietic
281.11	Pernicious anemia	hematopoietic
281.12	Other vitamin B12 deficiency anemia	hematopoietic
281.13	Folate-deficiency anemia	hematopoietic
281.9	Deficiency anemias	hematopoietic
282	Hereditary hemolytic anemias	hematopoietic
282.5	Sickle cell anemia	hematopoietic
282.8	Other hemoglobinopathies	hematopoietic
282.9	Other hereditary hemolytic anemias	hematopoietic
283	Acquired hemolytic anemias	hematopoietic
283.1	Autoimmune hemolytic anemias	hematopoietic
283.2	Non-autoimmune hemolytic anemias	hematopoietic
283.21	Hemolytic-uremic syndrome	hematopoietic
284	Aplastic anemia	hematopoietic
284.1	Pancytopenia	hematopoietic
284.2	Constitutional aplastic anemia	hematopoietic
285	Other anemias	hematopoietic
285.1	Acute posthemorrhagic anemia	hematopoietic
285.2	Anemia of chronic disease	hematopoietic
285.21	Anemia in chronic kidney disease	hematopoietic
285.22	Anemia in neoplastic disease	hematopoietic
285.3	Sideroblastic anemia	hematopoietic
285.8	Hemoglobinuria	hematopoietic
286	Coagulation defects	hematopoietic
286.1	Congenital coagulation defects	hematopoietic
286.11	Von willebrand's disease	hematopoietic
286.12	Congenital deficiency of other clotting factors (including factor VII)	hematopoietic
286.13	Congenital factor VIII disorder	hematopoietic
286.2	Encounter for long-term (current) use of anticoagulants	hematopoietic
286.3	Coagulation defects complicating pregnancy or postpartum	hematopoietic
286.4	Acquired coagulation factor deficiency	hematopoietic
286.5	Hemorrhagic disorder due to intrinsic circulating anticoagulants	hematopoietic
286.6	Defibrination syndrome	hematopoietic
286.7	Other and unspecified coagulation defects	hematopoietic
286.8	Hypercoagulable state	hematopoietic
286.81	Primary hypercoagulable state	hematopoietic
286.9	Abnormal coagulation profile	hematopoietic
287	Purpura and other hemorrhagic conditions	hematopoietic
287.1	Spontaneous ecchymoses	hematopoietic
287.2	Allergic purpura	hematopoietic
287.3	Thrombocytopenia	hematopoietic
287.31	Primary thrombocytopenia	hematopoietic
287.32	Secondary thrombocytopenia	hematopoietic
287.4	Qualitative platelet defects	hematopoietic
288	Diseases of white blood cells	hematopoietic
288.1	Decreased white blood cell count	hematopoietic
288.11	Neutropenia	hematopoietic
288.2	Elevated white blood cell count	hematopoietic
288.3	Eosinophilia	hematopoietic
289	Other diseases of blood and blood-forming organs	hematopoietic
289.1	Myelofibrosis	hematopoietic
289.3	Personal history of diseases of blood and blood-forming organs	hematopoietic
289.4	Lymphadenitis	hematopoietic
289.5	Diseases of spleen	hematopoietic
289.8	"Polycythemia, secondary"	hematopoietic
289.9	Abnormality of red blood cells	hematopoietic
290	Delirium dementia and amnestic and other cognitive disorders	mental disorders
290.1	Dementias	mental disorders
290.11	Alzheimer's disease	mental disorders
290.12	Dementia with cerebral degenerations	mental disorders
290.13	Senile dementia	mental disorders
290.16	Vascular dementia	mental disorders
290.2	Delirium due to conditions classified elsewhere	mental disorders
290.3	Other persistent mental disorders due to conditions classified elsewhere	mental disorders
291	Other specified nonpsychotic and/or transient mental disorders	mental disorders
291.1	Transient mental disorders due to conditions classified elsewhere	mental disorders
291.4	Specific nonpsychotic mental disorders due to brain damage	mental disorders
291.8	Alteration of consciousness	mental disorders
292	Neurological disorders	mental disorders
292.1	Aphasia/speech disturbance	mental disorders
292.11	Aphasia	mental disorders
292.12	Symbolic dysfunction	mental disorders
292.2	Mild cognitive impairment	mental disorders
292.3	Memory loss	mental disorders
292.4	Altered mental status	mental disorders
292.5	Transient alteration of awareness	mental disorders
292.6	Hallucinations	mental disorders
293	Symptoms involving head and neck	mental disorders
293.1	"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]"	mental disorders
295	Schizophrenia and other psychotic disorders	mental disorders
295.1	Schizophrenia	mental disorders
295.2	Paranoid disorders	mental disorders
295.3	Psychosis	mental disorders
296	Mood disorders	mental disorders
296.1	Bipolar	mental disorders
296.2	Depression	mental disorders
296.22	Major depressive disorder	mental disorders
297	Suicidal ideation or attempt	mental disorders
297.1	Suicidal ideation	mental disorders
297.2	Suicide or self-inflicted injury	mental disorders
300	Anxiety disorders	mental disorders
300.1	Anxiety disorder	mental disorders
300.11	Generalized anxiety disorder	mental disorders
300.12	"Agorophobia, social phobia, and panic disorder"	mental disorders
300.13	Phobia	mental disorders
300.2	Generalized anxiety & phobic disorders	mental disorders
300.3	Obsessive-compulsive disorders	mental disorders
300.4	Dysthymic disorder	mental disorders
300.8	Acute reaction to stress	mental disorders
300.9	Posttraumatic stress disorder	mental disorders
301	Personality disorders	mental disorders
301.1	Schizoid personality disorder	mental disorders
301.2	Antisocial/borderline personality disorder	mental disorders
302	Sexual and gender identity disorders	mental disorders
302.1	Decreased libido	mental disorders
303	Psychogenic and somatoform disorders	mental disorders
303.1	Dissociative disorder	mental disorders
303.3	Psychogenic disorder	mental disorders
303.31	Gastrointestinal malfunction arising from mental factors	mental disorders
303.4	Somatoform disorder	mental disorders
304	Adjustment reaction	mental disorders
305.2	Eating disorder	mental disorders
305.21	Anorexia nervosa	mental disorders
306	Other mental disorder	mental disorders
306.1	Mental disorders durring/after pregnancy	mental disorders
306.9	Tension headache	mental disorders
312	Conduct disorders	mental disorders
312.3	Impulse control disorder	mental disorders
313	Pervasive developmental disorders	mental disorders
313.1	Attention deficit hyperactivity disorder	mental disorders
313.2	Tics and stuttering	mental disorders
313.3	Autism	mental disorders
315	Develomental delays and disorders	mental disorders
315.1	Learning disorder	mental disorders
315.2	Speech and language disorder	mental disorders
315.3	Mental retardation	mental disorders
316	Substance addiction and disorders	mental disorders
316.1	Polyneuropathy due to drugs	mental disorders
317	Alcohol-related disorders	mental disorders
317.1	Alcoholism	mental disorders
317.11	Alcoholic liver damage	mental disorders
318	Tobacco use disorder	mental disorders
320	Meningitis	neurological
323	Encephalitis	neurological
323.2	Acute (transverse) myelitis	neurological
323.8	"Encephalitis, non-infectious"	neurological
324	Other CNS infection and poliomyelitis	neurological
324.1	Jakob-Creutzfeldt disease	neurological
325	Phlebitis and thrombophlebitis of intracranial venous sinuses	neurological
327	Sleep disorders	neurological
327.1	Hypersomnia	neurological
327.3	Sleep apnea	neurological
327.31	Central/nonobstroctive sleep apnea	neurological
327.32	Obstructive sleep apnea	neurological
327.4	Insomnia	neurological
327.41	Organic or persistent insomnia	neurological
327.5	Parasomnia	neurological
327.6	Circadian rhythm sleep disorder	neurological
327.7	Sleep related movement disorders	neurological
327.71	Restless legs syndrome	neurological
327.72	Sleep related leg cramps	neurological
331	Other cerebral degenerations	neurological
331.1	Hydrocephalus	neurological
331.9	"Cerebral degeneration, unspecified"	neurological
332	Parkinson's disease	neurological
333	Extrapyramidal disease and abnormal movement disorders	neurological
333.1	Essential tremor	neurological
333.2	Myoclonus	neurological
333.3	Tics and choreas	neurological
333.4	Torsion dystonia	neurological
333.8	Other degenerative diseases of the basal ganglia	neurological
334	Degenerative disease of the spinal cord	neurological
334.1	Spinocerebellar disease	neurological
334.2	Anterior horn cell disease	neurological
334.21	Amyotrophic Lateral Sclerosis	neurological
335	Multiple sclerosis	neurological
337	Disorders of the autonomic nervous system	neurological
337.1	Peripheral autonomic neuropathy	neurological
338	Pain	neurological
338.1	Acute pain	neurological
338.2	Chronic pain	neurological
339	Other headache syndromes	neurological
340	Migraine	neurological
340.1	Migrain with aura	neurological
341	Other demyelinating diseases of central nervous system	neurological
342	Hemiplegia	neurological
343	Infantile cerebral palsy	neurological
344	Other paralytic syndromes	neurological
345	"Epilepsy, recurrent seizures, convulsions"	neurological
345.1	Epilepsy	neurological
345.11	Generalized convulsive epilepsy	neurological
345.12	Partial epilepsy	neurological
345.3	Convulsions	neurological
346	Abnormal findings on study of brain and/or nervous system	neurological
346.1	Nonspecific abnormal findings on radiological and other examination of skull and head	neurological
346.2	Nonspecific abnormal results of function study of brain and central nervous system	neurological
346.3	Nonspecific abnormal findings in cerebrospinal fluid	neurological
347	Cataplexy and narcolepsy	neurological
348	Other conditions of brain	neurological
348.2	Cerebral edema and compression of brain	neurological
348.4	Cerebral cysts	neurological
348.7	Coma	neurological
348.8	"Encephalopathy, not elsewhere classified"	neurological
348.9	"Other conditions of brain, NOS"	neurological
349	Other and unspecified disorders of the nervous system	neurological
350	Abnormal movement	neurological
350.1	Abnormal involuntary movements	neurological
350.2	Abnormality of gait	neurological
350.3	Lack of coordination	neurological
